,Pitcher,Team,Opponent,Expected K Rate,Expected Batters Faced,Prob 1+ K,Prob 2+ K,Prob 3+ K,Prob 4+ K,Prob 5+ K,Prob 6+ K,Prob 7+ K,Prob 8+ K,Prob 9+ K,Prob 10+ K,Prob 11+ K,Prob 12+ K
1,Dean Kremer,Baltimore Orioles,Houston Astros,0.429,21.0,0.9999921258990642,0.9998681088093242,0.9989379806362747,0.9945198718142894,0.979608754540089,0.941585405490878,0.8655387073924561,0.7433207997342781,0.5829097959329194,0.40913120848144635,0.2527304797751216,0.135429933245378
2,Gavin Williams,Cleveland Guardians,Pittsburgh Pirates,0.328,22.3,0.9998425909696516,0.9981495693987925,0.9894587253350494,0.9611330113495162,0.8953544088720006,0.7795840685115728,0.6192207081604617,0.4400210165935047,0.27575463265712846,0.15083106166353866,0.07143519209872379,0.02909072833082251
3,Sandy Alcantara,Miami Marlins,Milwaukee Brewers,0.187,30.3,0.9979783320680247,0.9840452152395462,0.9376328733717091,0.8381181223397699,0.6838030185436211,0.4994590296844378,0.32300363494310247,0.18401946302328626,0.09222417379921846,0.04067546783855576,0.015806700233209025,0.005419254304685818
4,Reid Detmers,Los Angeles Angels,Detroit Tigers,0.233,24.3,0.9982750996700682,0.9857079686948508,0.9418352168081542,0.8441661143937226,0.6885059824207223,0.4994901078820777,0.3177873475368937,0.1759479478796837,0.084448870868671,0.035068416608759395,0.012582674043978219,0.003895000780312764
5,Seth Lugo,Kansas City Royals,San Diego Padres,0.244,22.5,0.9979017324132134,0.9829670042954972,0.9322328543661965,0.8228062564794696,0.6546433229623673,0.4587829651012709,0.27924430372859976,0.14647621800763286,0.06593675424307571,0.025403821498821463,0.00835614684462041,0.0023393204960788622
6,Roki Sasaki,Los Angeles Dodgers,New York Yankees,0.244,22.5,0.9979017324132134,0.9829670042954972,0.9322328543661965,0.8228062564794696,0.6546433229623673,0.4587829651012709,0.27924430372859976,0.14647621800763286,0.06593675424307571,0.025403821498821463,0.00835614684462041,0.0023393204960788622
7,Landen Roupp,San Francisco Giants,Seattle Mariners,0.229,24.0,0.998063347590133,0.984245070935947,0.937001503456095,0.8340020139955167,0.6732392973374519,0.4820620126629973,0.30207979420821723,0.1644872102157599,0.07756216559890342,0.03161979967527956,0.011131987844474328,0.003379842827412892
8,Chris Sale,Atlanta Braves,Texas Rangers,0.242,22.0,0.9977747771368404,0.9821092081801971,0.9294728964858753,0.8171820982046556,0.6465000848172014,0.4498744053948546,0.2716004560519265,0.14120579596109908,0.06296899990660262,0.024024461426142167,0.00782353341827062,0.0021679367318863723
9,Cal Quantrill,Texas Rangers,Atlanta Braves,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
10,Gerrit Cole,New York Yankees,Los Angeles Dodgers,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
11,Logan Henderson,Milwaukee Brewers,Miami Marlins,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
12,Eduardo Rivera,Boston Red Sox,Tampa Bay Rays,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
13,Griffin Jax,Tampa Bay Rays,Boston Red Sox,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
14,Jake Bennett,Boston Red Sox,Tampa Bay Rays,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
15,Jared Jones,Pittsburgh Pirates,Cleveland Guardians,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
16,Bryce Miller,Seattle Mariners,San Francisco Giants,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
17,Gage Jump,Athletics,Washington Nationals,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
18,Peter Lambert,Houston Astros,Baltimore Orioles,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
19,Troy Melton,Detroit Tigers,Los Angeles Angels,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
20,Gabriel Hughes,Colorado Rockies,Cincinnati Reds,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
