,Pitcher,Team,Opponent,Expected K Rate,Expected Batters Faced,Prob 1+ K,Prob 2+ K,Prob 3+ K,Prob 4+ K,Prob 5+ K,Prob 6+ K,Prob 7+ K,Prob 8+ K,Prob 9+ K,Prob 10+ K,Prob 11+ K,Prob 12+ K
1,Jacob Misiorowski,Milwaukee Brewers,Chicago Cubs,0.324,22.7,0.999875340570096,0.9985040868411522,0.9912900998323607,0.967138925933363,0.9093861187835861,0.8044266692679045,0.6538326764845352,0.47891915691627546,0.31161057298141703,0.17824865825073277,0.0889541588223616,0.03848335479763007
2,Taj Bradley,Minnesota Twins,Colorado Rockies,0.27,24.7,0.9996206404667454,0.9961080521958692,0.9804965487697526,0.9361675884239894,0.8458678543863237,0.7054016014388438,0.5319864743431895,0.3576538068925317,0.21237658401698356,0.11074231286948076,0.050514596633923534,0.02009655813111685
3,Nathan Eovaldi,Texas Rangers,Toronto Blue Jays,0.253,25.0,0.9993267612726396,0.9936162542102083,0.9703663325988805,0.9098888579313195,0.7970335703820315,0.636214785624296,0.4543363981006653,0.2868412504067106,0.15897665105105768,0.07703167963860552,0.03254726658613148,0.011966004053736828
4,Joey Cantillo,Cleveland Guardians,Seattle Mariners,0.302,21.0,0.9994674570156948,0.9946382604080186,0.9737849114203257,0.9167541615373171,0.8059330452873801,0.643227497338609,0.4558695936400229,0.2825027022306178,0.15149249451782873,0.06977653162626586,0.027432805400637836,0.00914801453048028
5,Paul Skenes,Pittsburgh Pirates,Cincinnati Reds,0.27,21.0,0.9986455501582544,0.9881338416038372,0.949286223033165,0.8583602752192004,0.7071464707024985,0.5171430380706435,0.3298932783754812,0.1816054252007409,0.08570186798446866,0.03450697391491271,0.011803151327544418,0.003412608197430049
6,Will Warren,New York Yankees,Boston Red Sox,0.279,20.3,0.9985463601188012,0.9873136883095378,0.9460846770096276,0.8505083326325633,0.6935676307861338,0.49953185395782096,0.31211093315774613,0.16728567617587015,0.07635845517304461,0.02951715950492236,0.009609608845970403,0.0026172873335286017
7,Roki Sasaki,Los Angeles Dodgers,San Diego Padres,0.244,22.5,0.9979017324132134,0.9829670042954972,0.9322328543661965,0.8228062564794696,0.6546433229623673,0.4587829651012709,0.27924430372859976,0.14647621800763286,0.06593675424307571,0.025403821498821463,0.00835614684462041,0.0023393204960788622
8,Reynaldo López,Atlanta Braves,San Francisco Giants,0.258,20.7,0.998104651892968,0.9842603700676916,0.9361063463275994,0.8300279172189904,0.6639921151359501,0.4676367318029636,0.28550999943613553,0.14976336661613945,0.06713498142135922,0.025621203352484138,0.00829371337591019,0.0022667603405801197
9,Max Meyer,Miami Marlins,St. Louis Cardinals,0.231,21.7,0.9968865187887732,0.9763375427946769,0.9116082684132731,0.7821497196504656,0.597671287663465,0.39843458111750313,0.2290833805534365,0.11295684302379078,0.047635665663365044,0.01715244956183304,0.005263995282235556,0.0013732284270945607
10,Keider Montero,Detroit Tigers,Houston Astros,0.263,19.0,0.9969792536472984,0.9764813319682523,0.9105951551427469,0.7772540829958906,0.5867668370718102,0.38267335929601076,0.21259546114951056,0.09978869197070939,0.03935649419635162,0.012977360247227204,0.0035562409796827737,0.0008033165183873237
11,Trevor Rogers,Baltimore Orioles,Washington Nationals,0.208,24.0,0.9963270364220643,0.9731293717193127,0.902925912750459,0.7674455533368816,0.5802687409891761,0.38324051746527477,0.21905033119535763,0.10794419011045128,0.045812466477444434,0.016744993432762863,0.0052709909151254,0.0014280235647205067
12,Walbert Ureña,Los Angeles Angels,Athletics,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
13,Zack Wheeler,Philadelphia Phillies,New York Mets,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
14,Andrew Alvarez,Washington Nationals,Baltimore Orioles,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
15,Spencer Arrighetti,Houston Astros,Detroit Tigers,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
16,Payton Tolle,Boston Red Sox,New York Yankees,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
17,Nick Martinez,Tampa Bay Rays,Arizona Diamondbacks,0.19,21.0,0.9881744279211274,0.929742189413757,0.7922545693964147,0.5873710572137086,0.3704355737261374,0.19688718693608054,0.08799408149918214,0.03308999472427539,0.010482429581666732,0.0027988126704533312,0.0006293208366989594,0.00011885216993322498
