,Pitcher,Team,Opponent,Expected K Rate,Expected Batters Faced,Prob 1+ K,Prob 2+ K,Prob 3+ K,Prob 4+ K,Prob 5+ K,Prob 6+ K,Prob 7+ K,Prob 8+ K,Prob 9+ K,Prob 10+ K,Prob 11+ K,Prob 12+ K
1,Jacob Misiorowski,Milwaukee Brewers,Cincinnati Reds,0.324,22.7,0.999875340570096,0.9985040868411522,0.9912900998323607,0.967138925933363,0.9093861187835861,0.8044266692679045,0.6538326764845352,0.47891915691627546,0.31161057298141703,0.17824865825073277,0.0889541588223616,0.03848335479763007
2,Nathan Eovaldi,Texas Rangers,Detroit Tigers,0.253,25.0,0.9993267612726396,0.9936162542102083,0.9703663325988805,0.9098888579313195,0.7970335703820315,0.636214785624296,0.4543363981006653,0.2868412504067106,0.15897665105105768,0.07703167963860552,0.03254726658613148,0.011966004053736828
3,Roki Sasaki,Los Angeles Dodgers,San Diego Padres,0.244,22.5,0.9979017324132134,0.9829670042954972,0.9322328543661965,0.8228062564794696,0.6546433229623673,0.4587829651012709,0.27924430372859976,0.14647621800763286,0.06593675424307571,0.025403821498821463,0.00835614684462041,0.0023393204960788622
4,Chase Burns,Cincinnati Reds,Milwaukee Brewers,0.216,25.5,0.9981939274332504,0.9852805085809911,0.9408906312763498,0.8432329012061386,0.6888116155326174,0.5019618598676564,0.3221189700401318,0.18081384231850534,0.08852393077531803,0.037764479426564995,0.01403443592102295,0.004542418518806131
5,Randy Vásquez,San Diego Padres,Los Angeles Dodgers,0.239,23.0,0.9981373344113273,0.9846729231560655,0.9381245299593026,0.8357180649264245,0.6747936198747588,0.48260385407019935,0.30139636059732794,0.16308696762007507,0.07614963489151613,0.03061103203369955,0.010574046776260258,0.0031317379663542357
6,Alan Rangel,Philadelphia Phillies,Pittsburgh Pirates,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
7,Jared Jones,Pittsburgh Pirates,Philadelphia Phillies,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
8,Stephen Kolek,Kansas City Royals,Tampa Bay Rays,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
9,Ryan Gusto,Miami Marlins,Colorado Rockies,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
10,Hurston Waldrep,Atlanta Braves,St. Louis Cardinals,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
11,Walbert Ureña,Los Angeles Angels,Seattle Mariners,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
12,Bryce Miller,Seattle Mariners,Los Angeles Angels,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
13,Slade Cecconi,Cleveland Guardians,Chicago White Sox,0.205,22.0,0.9934906429653275,0.9566662803120378,0.8572405011481553,0.6867963082957853,0.4786109013118187,0.28589069598951844,0.14548026068327108,0.0629533109522522,0.02316353161765382,0.007247619883814466,0.0019271579613595947,0.00043466474674887755
14,Davis Martin,Chicago White Sox,Cleveland Guardians,0.184,24.5,0.992331085936194,0.9509189499916417,0.8437650482351128,0.6669611103368399,0.45811145869450587,0.27014677221640454,0.1362219331007573,0.058736847612418555,0.021689291113306586,0.006870268513661798,0.0018688483862816826,0.00043662353162283145
15,Dustin May,St. Louis Cardinals,Atlanta Braves,0.19,21.0,0.9881744279211274,0.929742189413757,0.7922545693964147,0.5873710572137086,0.3704355737261374,0.19688718693608054,0.08799408149918214,0.03308999472427539,0.010482429581666732,0.0027988126704533312,0.0006293208366989594,0.00011885216993322498
16,Framber Valdez,Detroit Tigers,Texas Rangers,0.101,26.3,0.9377108086031848,0.7552297971871628,0.4982142881505123,0.2665383363428272,0.1164384239040453,0.04202269266679005,0.012675643728154185,0.003227901615112457,0.0006996325989463612,0.00012988183473991704,2.0746477089105216e-05,2.860016424183432e-06
17,Michael Lorenzen,Colorado Rockies,Miami Marlins,0.127,17.8,0.9128233584367187,0.6850392304810485,0.403983008084132,0.1863910939703907,0.06794388265847506,0.01980082257685775,0.004659053680220046,0.0008910558902733354,0.00013897568623155257,1.7672427515135966e-05,1.8247437150879897e-06,1.5167445760491898e-07
18,Ian Seymour,Tampa Bay Rays,Kansas City Royals,0.35,5.0,0.8839709375,0.571585,0.23516937499999996,0.05402249999999999,0.005252187499999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
